Id,avg_TotalSteps,time_of_day
1503960366,965.83,Evening
1503960366,784.25,Afternoon
1503960366,401.07,Morning
1503960366,39.88,Night
1624580081,375.24,Morning
1624580081,296.77,Afternoon
1624580081,236.94,Evening
1624580081,34.81,Night
1644430081,656.92,Evening
1644430081,446.9,Afternoon
1644430081,190.35,Morning
1644430081,28.51,Night
1844505072,162.13,Afternoon
1844505072,150.78,Evening
1844505072,112.94,Morning
1844505072,20.75,Night
1927972279,61.66,Afternoon
1927972279,58.85,Morning
1927972279,27.69,Evening
1927972279,1.03,Night
2022484408,881.28,Afternoon
2022484408,799.36,Morning
2022484408,113.17,Evening
2022484408,0,Night
2026352035,437.2,Afternoon
2026352035,312.19,Morning
2026352035,150.97,Evening
2026352035,8.97,Night
2320127002,269.25,Evening
2320127002,253.4,Afternoon
2320127002,214.9,Morning
2320127002,69.33,Night
2347167796,597.48,Morning
2347167796,540.09,Evening
2347167796,530.78,Afternoon
2347167796,1.75,Night
2873212765,684.01,Morning
2873212765,356.44,Afternoon
2873212765,106.92,Evening
2873212765,23.83,Night
3372868164,474.86,Morning
3372868164,438.75,Afternoon
3372868164,191.71,Evening
3372868164,8.58,Night
3977333714,1039.56,Evening
3977333714,705.16,Afternoon
3977333714,243.93,Morning
3977333714,30.42,Night
4020332650,166.65,Afternoon
4020332650,133.44,Evening
4020332650,80.15,Morning
4020332650,5.77,Night
4057192912,304.21,Morning
4057192912,267.1,Afternoon
4057192912,67.67,Evening
4057192912,6.79,Night
4319703577,415.8,Morning
4319703577,407.73,Afternoon
4319703577,306.19,Evening
4319703577,15.36,Night
4388161847,680.09,Afternoon
4388161847,561.64,Morning
4388161847,365.04,Evening
4388161847,104.07,Night
4445114986,412.07,Afternoon
4445114986,300.82,Evening
4445114986,106.66,Morning
4445114986,28.4,Night
4558609924,683.78,Afternoon
4558609924,303.17,Morning
4558609924,302.9,Evening
4558609924,8.36,Night
4702921684,529.09,Afternoon
4702921684,474.43,Morning
4702921684,446.06,Evening
4702921684,7.59,Night
5553957443,656.04,Afternoon
5553957443,458.5,Morning
5553957443,316.83,Evening
5553957443,17.07,Night
5577150313,622.6,Morning
5577150313,399.48,Afternoon
5577150313,258.03,Evening
5577150313,63.73,Night
6117666160,540.38,Afternoon
6117666160,304.57,Morning
6117666160,247.63,Evening
6117666160,31.61,Night
6290855005,467.38,Morning
6290855005,392.77,Afternoon
6290855005,50.21,Evening
6290855005,0.55,Night
6775888955,168.36,Morning
6775888955,118.95,Afternoon
6775888955,112.37,Evening
6775888955,21.45,Night
6962181067,830.52,Morning
6962181067,463.16,Afternoon
6962181067,262.99,Evening
6962181067,7.59,Night
7007744171,1169.14,Morning
7007744171,466.11,Afternoon
7007744171,158.75,Evening
7007744171,0.33,Night
7086361926,1141.28,Afternoon
7086361926,227.76,Morning
7086361926,203.95,Evening
7086361926,11.05,Night
8053475328,1365.04,Evening
8053475328,1253.69,Afternoon
8053475328,81.1,Morning
8053475328,37.3,Night
8253242879,608.85,Morning
8253242879,319.28,Afternoon
8253242879,130.8,Evening
8253242879,0,Night
8378563200,710.47,Morning
8378563200,485.27,Afternoon
8378563200,138.83,Evening
8378563200,34.35,Night
8583815059,555.63,Afternoon
8583815059,251.64,Morning
8583815059,137.2,Evening
8583815059,16.87,Night
8792009665,146.21,Afternoon
8792009665,86.44,Evening
8792009665,58.23,Morning
8792009665,33.76,Night
8877689391,1328.18,Afternoon
8877689391,839.02,Morning
8877689391,434.3,Evening
8877689391,35.92,Night