id,avg_TotalminsAsleep,avg_TotalTimeInBed
1503960366,360.28,383.2
1644430081,294,346
1844505072,652,961
1927972279,417,437.8
2026352035,506.18,537.64
2320127002,61,69
2347167796,446.8,491.33
3977333714,293.64,461.14
4020332650,349.38,379.75
4319703577,476.65,501.96
4388161847,403.12,426.21
4445114986,385.18,416.82
4558609924,127.6,140
4702921684,421.14,441.96
5553957443,463.48,505.87
5577150313,432,460.62
6117666160,478.78,510.17
6775888955,349.67,369
6962181067,448,466.13
7007744171,68.5,71.5
7086361926,453.13,466.42
8053475328,297,301.67
8378563200,443.34,483.31
8792009665,435.67,453.8